,Player,Pos,Tm,Age,Tm,AST,STL,BLK,PTS,FG,FGA
162,Anthony Davis,PF,LAL,26,LAL,200,91,143,1618,551,1096
163,Ed Davis,C,UTA,30,UTA,12,11,9,51,22,46
164,Terence Davis,SG,TOR,22,TOR,115,39,14,543,199,436
165,Dewayne Dedmon,C,TOT,30,TOT,22,25,41,256,102,255
166,Dewayne Dedmon,C,SAC,30,SAC,15,15,26,175,69,171
167,Dewayne Dedmon,C,ATL,30,ATL,7,10,15,81,33,84
168,Matthew Dellavedova,PG,CLE,29,CLE,180,20,2,177,62,175
169,DeMar DeRozan,SF,SAS,30,SAS,380,70,20,1504,557,1049
170,Cheick Diallo,C,PHO,23,PHO,22,11,12,219,92,142
171,Hamidou Diallo,SF,OKC,21,OKC,36,37,9,318,132,296
172,Gorgui Dieng,C,TOT,30,TOT,73,51,59,464,166,364
173,Gorgui Dieng,C,MIN,30,MIN,58,37,42,341,124,277
174,Gorgui Dieng,C,MEM,30,MEM,15,14,17,123,42,87
175,Spencer Dinwiddie,SG,BRK,26,BRK,432,40,21,1318,424,1021
176,Donte DiVincenzo,SG,MIL,23,MIL,154,85,20,610,232,510
177,Luka Dončić,PG,DAL,20,DAL,538,62,14,1759,581,1255
178,Luguentz Dort,SG,OKC,20,OKC,27,31,4,244,86,218
179,Damyean Dotson,SG,NYK,25,NYK,57,23,4,321,120,290
180,Sekou Doumbouya,SF,DET,19,DET,19,20,8,243,92,236
181,PJ Dozier,PG,DEN,23,DEN,63,14,6,168,65,157
182,Goran Dragić,PG,MIA,33,MIA,301,40,10,953,319,724
183,Andre Drummond,C,TOT,26,TOT,152,109,93,1010,418,784
184,Andre Drummond,C,DET,26,DET,138,97,82,870,360,679
185,Andre Drummond,C,CLE,26,CLE,14,12,11,140,58,105
186,Jared Dudley,SF,LAL,34,LAL,28,15,3,68,24,60
187,Kris Dunn,PG,CHI,25,CHI,173,101,17,373,152,342
188,Carsen Edwards,SG,BOS,21,BOS,24,12,4,121,42,128
189,Henry Ellenson,PF,BRK,23,BRK,1,0,0,2,1,7
190,Wayne Ellington,SG,NYK,32,NYK,44,13,4,183,61,174
191,Joel Embiid,C,PHI,25,PHI,152,45,65,1172,382,801
192,James Ennis,SF,TOT,29,TOT,63,35,22,454,160,359
193,James Ennis,SF,PHI,29,PHI,41,23,14,285,100,226
194,James Ennis,SF,ORL,29,ORL,22,12,8,169,60,133
195,Drew Eubanks,PF,SAS,22,SAS,15,5,17,107,43,67
196,Jacob Evans,SG,TOT,22,TOT,31,11,12,128,45,134
197,Jacob Evans,SG,GSW,22,GSW,31,11,12,128,45,133
198,Jacob Evans,SG,MIN,22,MIN,0,0,0,0,0,1
199,Dante Exum,SG,TOT,24,TOT,40,13,8,159,56,119
200,Dante Exum,SG,UTA,24,UTA,7,1,2,24,10,23
201,Dante Exum,SG,CLE,24,CLE,33,12,6,135,46,96
202,Tacko Fall,C,BOS,24,BOS,1,1,4,23,11,14
203,Derrick Favors,C,NOP,28,NOP,81,30,46,459,209,339
204,Cristiano Felício,PF,CHI,27,CHI,16,10,2,86,34,54
205,Terrance Ferguson,SF,OKC,21,OKC,51,27,17,220,78,220
206,Bruno Fernando,C,ATL,21,ATL,49,18,17,240,103,199
207,Yogi Ferrell,PG,SAC,26,SAC,69,18,4,218,79,188
208,Dorian Finney-Smith,PF,DAL,26,DAL,114,45,39,678,243,522
209,Bryn Forbes,SG,SAS,26,SAS,108,33,0,707,242,581
210,Evan Fournier,SG,ORL,27,ORL,209,71,15,1221,434,929
211,De'Aaron Fox,PG,SAC,22,SAC,348,74,25,1077,391,815
212,Melvin Frazier,SG,ORL,23,ORL,3,9,2,40,15,34
213,Michael Frazier,SG,HOU,25,HOU,2,2,0,27,7,29
214,Tim Frazier,PG,DET,29,DET,93,14,4,97,34,94
215,Markelle Fultz,PG,ORL,21,ORL,369,90,11,870,359,772
216,Wenyen Gabriel,PF,TOT,22,TOT,8,11,7,63,21,48
217,Wenyen Gabriel,PF,SAC,22,SAC,3,3,2,19,6,17
218,Wenyen Gabriel,PF,POR,22,POR,5,8,5,44,15,31
219,Daniel Gafford,C,CHI,21,CHI,21,13,56,220,94,134
220,Danilo Gallinari,PF,OKC,31,OKC,119,42,5,1160,358,817
221,Langston Galloway,SG,DET,28,DET,101,48,11,677,236,542
222,Darius Garland,PG,CLE,20,CLE,229,42,4,728,280,699
223,Marc Gasol,C,TOR,35,TOR,147,34,38,331,119,279
224,Rudy Gay,PF,SAS,33,SAS,114,35,33,726,266,596
225,Paul George,SF,LAC,29,LAC,185,68,20,1033,343,782
226,Taj Gibson,C,NYK,34,NYK,52,27,30,379,167,286
227,Harry Giles,PF,SAC,21,SAC,60,22,18,316,139,251
228,Shai Gilgeous-Alexander,SG,OKC,21,OKC,232,79,47,1331,478,1015
229,Rudy Gobert,C,UTA,27,UTA,101,51,135,1026,386,557
230,Brandon Goodwin,PG,ATL,24,ATL,51,12,4,206,76,190
231,Aaron Gordon,PF,ORL,24,ORL,228,51,39,894,335,767
232,Eric Gordon,SF,HOU,31,HOU,54,23,13,520,171,463
233,Devonte' Graham,PG,CHO,24,CHO,471,62,15,1145,368,963
234,Treveon Graham,SG,TOT,26,TOT,45,24,6,243,87,242
235,Treveon Graham,SG,MIN,26,MIN,30,17,2,171,62,175
236,Treveon Graham,SG,ATL,26,ATL,15,7,4,72,25,67
237,Jerami Grant,PF,DEN,25,DEN,88,50,57,851,303,634
238,Jerian Grant,PG,WAS,27,WAS,9,1,1,27,10,27
239,Josh Gray,PG,NOP,26,NOP,2,0,0,2,1,2
240,Danny Green,SG,LAL,32,LAL,91,85,32,547,197,474
241,Draymond Green,PF,GSW,29,GSW,266,59,33,345,123,316
242,JaMychal Green,PF,LAC,29,LAC,49,29,24,430,151,352
243,Javonte Green,SF,BOS,26,BOS,26,24,8,163,63,126
244,Jeff Green,PF-C,TOT,33,TOT,50,26,19,453,159,344
245,Jeff Green,PF,UTA,33,UTA,20,12,10,233,75,195
246,Jeff Green,C,HOU,33,HOU,30,14,9,220,84,149
247,Blake Griffin,PF,DET,30,DET,59,7,7,279,88,250
248,Marko Guduric,SG,MEM,24,MEM,45,12,8,173,62,157
